Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,0,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 2 ,,,,,,,,,,,
DATA,,,,,,,,,,,
TRIO,,,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,0,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 3,,,,,,,,,,,
DATA,,,,,,,,,,,
TRIO,,,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 4,Chup chup,,,,,,,,,,
DATA,,,,,,,,,,,
TRIO,,,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,0,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
FECHAMENTO MENSAL,,,,,,,,,,,
,,,Fechamento de caixa,,,,,,,,
,,,Valor avaliado pela quantidade feita,,,"R$ 0,00",,,,,
,,,Valor obtido ,,,"R$ 0,00",,,,,
,,,Subtraindo Avaliado pelo obtido,,,"R$ 0,00",,,,,
,,,Lucro Bruto,,,"R$ 0,00",,,,,
,,,Bombons/Chup chup perdidos,,,0,,,,,
,,,Lucro Líquido,,,"R$ 0,00",,,,,
