Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,337,"74,9",Valor avaliado pela quantidade feita,"R$ 364,50"
Limão,12,"R$ 8,02",,Ninho com morango ,41,,Dinheiro,"11,5","2,6",Valor obtido ,"R$ 348,49"
Leite condensado ,6,"R$ 26,70",,Ninho com maracujá ,28,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 16,01"
Leite ,6,"R$ 32,94",,Pink lemonade ,12,,,,,Lucro Bruto,"R$ 348,49"
Morango,3,"R$ 53,97",,Total,81,,,,,Unidades perdidas,4
,,,,,,,,,,Lucro Líquido,"R$ 226,86"
Total da compra,,"R$ 121,63",,,,,,,,,
SEMANA 2 ,Chup chup,,,,,,,,,,
DATA,DIA 13/02 (quinta) à DIA 19/02 (quarta),,,,,,,,,,
TRIO,"Diposto, Juíza, B. Kwid e B. AmiYumi",,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
Sacolinha  ,1,"R$ 4,95",,Ninho com morango ,44,,Dinheiro,,,Valor obtido ,"R$ 0,00"
Liga neutra  ,1,"R$ 6,95",,Ninho com maracujá ,27,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
Morango  ,2,"R$ 35,98",,Pink lemonade ,10,,,,,Lucro Bruto,"R$ 0,00"
Maracujá,8,"R$ 17,42",,Total,81,,,,,Unidades perdidas,0
Limão,12,"R$ 8,47",,,,,,,,Lucro Líquido,"R$ 0,00"
Leite,6,"R$ 27,54",,,,,,,,,
Leite condensado,6,"R$ 35,34",,,,,,,,,
Total da compra,,"R$ 136,65",,,,,,,,,
SEMANA 3,Chup chup,,,,,,,,,,
DATA,DIA 20/02 (quinta) à DIA 26/02 (quarta),,,,,,,,,,
TRIO,"Lo-Fi, Cérebro e B. Delegada",,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 4,Chup chup,,,,,,,,,,
DATA,DIA 27/02 (quinta) à DIA 05/03 (quarta),,,,,,,,,,
TRIO,"Adversária, B. Amendoim, B. Poliana e B. Victória",,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,0,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,0,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
FECHAMENTO MENSAL,,,,,,,,,,,
,,,Fechamento de caixa,,,,,,,,
,,,Valor avaliado pela quantidade feita,,,"R$ 567,00",,,,,
,,,Valor obtido ,,,"R$ 348,49",,,,,
,,,Subtraindo Avaliado pelo obtido,,,"R$ 218,51",,,,,
,,,Lucro Bruto,,,"R$ 348,49",,,,,
,,,Bombons/Chup chup perdidos,,,4,,,,,
,,,Lucro Líquido,,,"R$ 3,56",,,,,
