Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,0,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 2 ,,,,,,,,,,,
DATA,,,,,,,,,,,
TRIO,,,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,0,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 3,,,,,,,,,,,
DATA,,,,,,,,,,,
TRIO,,,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,Valor avaliado pela quantidade feita,"R$ 0,00"
,,,,,,,Dinheiro,,,Valor obtido ,"R$ 0,00"
,,,,,,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 0,00"
,,,,,,,,,,Lucro Bruto,"R$ 0,00"
,,,,Total,,,,,,Unidades perdidas,0
,,,,,,,,,,Lucro Líquido,"R$ 0,00"
Total da compra,,"R$ 0,00",,,,,,,,,
SEMANA 4,Chup chup,,,,,,,,,,
DATA,DIA 23/01 (quinta) à DIA 05/02 (quarta),,,,,,,,,,
TRIO,"Lo-Fi, Juíza e B. Delegada",,,,,,,,,,
Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,Fechamento de caixa,
Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,"345,7","76,8",Valor avaliado pela quantidade feita,"R$ 432,00"
Maracujá   ,,"R$ 67,44",,Ninho com maracujá,42,,Dinheiro,"55,5","12,33",Valor obtido ,"R$ 401,20"
Leite condensado,7,"R$ 40,73",,Ninho com morango,39,,,Valor obtido,Quant. vendida,Subtraindo Avaliado pelo obtido,"R$ 30,80"
Leite,2,"R$ 8,58",,Pink lemonade,15,,,,,Lucro Bruto,"R$ 401,20"
,,,,Total,96,,,,,Unidades perdidas,7
,,,,,,,,,,Lucro Líquido,"R$ 300,80"
Total da compra,,"R$ 100,40",,,,,,,,,
FECHAMENTO MENSAL,,,,,,,,,,,
,,,Fechamento de caixa,,,,,,,,
,,,Valor avaliado pela quantidade feita,,,"R$ 432,00",,,,,
,,,Valor obtido ,,,"R$ 401,20",,,,,
,,,Subtraindo Avaliado pelo obtido,,,"R$ 30,80",,,,,
,,,Lucro Bruto,,,"R$ 401,20",,,,,
,,,Bombons/Chup chup perdidos,,,7,,,,,
,,,Lucro Líquido,,,"R$ 300,80",,,,,
