venda,simples,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,premium,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,"R$ 8,00",13.0,,,,"R$ 11,00","R$ 14,00","Premium: salsicha, batata palha, queijo e milho  sem coca 10,00 / com coca 13,00 - Simples  salsicha, batata palha e milho sem coca 7,00 / com coca 10,00 - coca-cola 5,00",,,,FECHAMENTO FINAL,,,,
,Dogão,,,PG,Forma de pagamento,Dogão,Combo ,,,,,,,,,
,,1.0,10.0,,PIX,,,,,,,QUANTIDADE VENDIDAS DE TIPOS DE CACHORRO QUENTE,,,,
,,1.0,10.0,,PIX,,,,,,,,,,,
,,1.0,10.0,,PIX,,,,,,,premium,,,simples ,
,,2.0,26.0,,PIX,,,nota,114,,,44,,,26,
,1,,3.0,,PIX,,,1,16,,,,,,,
,,1.0,13.0,,PIX,,,"0,5","26,5",,,COM MAIONESE DE BACON,,,,
,,1.0,13.0,,PIX,,,"0,25",7,,,,,,,
,,,28.0,,PIX,,2,,11,,,premium,,,,
,,1.0,10.0,,PIX,,,,"0,85",,,23,,,,
,1,,8.0,,PIX,,,,"40,95",,,,,,,
1,,,2.38,,,,,,,,,QUANTIDADE TOTAL DE COCA-COLA E CACHORRO QUENTE,,,,
,,,14.0,,PIX,,1,,,,,,,,,
,2,,16.0,,PIX,,,,,,,,COCA-COLA,HOT DOG,,
,,,11.0,,PIX,1,,,,,,TOTAL,51,74,,
,,,14.0,,,,1,,,,,,,,,
,,,14.0,,,,1,,,,,QUANTIDADE GANHA - MORADORA,,12,,
,,,11.0,,,1,,,,,,QUANTIDADE PAGA - MORADORA,,4,,
,,,14.0,,,,1,,,,,,,,,
,,,14.0,,,,1,,,,,VALOR OBTIDO,,,VALOR GASTO,"R$ 478,05"
,,2.0,26.0,,,,,,,,,CACHORRO QUENTE,"R$ 694,85",,LUCRO LÍQUIDO,"R$ 369,80"
,,2.0,26.0,,,,,,,,,COCA-COLA,"R$ 153,00",,,
,,,14.0,,,,1,,,,,,,,,
,,,28.0,,,,2,,,,,TOTAL,"R$ 847,85",,,
,,,14.0,,,,1,,,,,,,,,
,,,14.0,,,,1,,,,,,,,,
,1,,19.0,,,1,,,,,,,,,,
,,2.0,20.0,,,,,,,,,,,,,
,1,,3.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
1,,,2.38,,,,,,,,,,,,,
,,,10.0,,,1,,,,,,,,,,
,1,,7.0,,,,,,,,,,,,,
,,,39.0,,,,3,,,,,,,,,
,,,26.0,,,,2,,,,,,,,,
Total,7,15.0,,,,4,17,,,COCA-COLA,HOT DOG,,,,,
,dogão,,,,,dogão,combo,,TOTAL,32,43,,,,,
,simples ,,,,,premium,,,,,,,,,,
,,,502.76,,,,,,,,,,,,,
,,,543.71,,"594,29",,,,,,,,,,,
venda,premium,,,,,simples,,,,,,,,,,
,"R$ 10,00",13.0,,,,"R$ 7,00","R$ 10,00",,,,,,,,,
,,,,,,,Combo ,,,,,,,,,
1,,,2.38,,,,,,,,,,,,,
,,,7.0,,,1,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
,1,1.0,23.0,,,,,,,,,,,,,
,1,,10.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
,1,1.0,23.0,,,,,,,,,,,,,
,1,,10.0,,,,,,,,,,,,,
,1,,10.0,,,,,,,,,,,,,
1,1,,10.0,,,,,,,,,,,,,
,,2.0,23.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
,,2.0,26.0,,,,,,,,,,,,,
,,,7.0,,,1,,,,,,,,,,
1,,,2.38,,,,,,,,,,,,,
,2,1.0,33.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
,1,,10.0,,,,,,,,,,,,,
,,1.0,13.0,,,,,,,,,,,,,
2,,,8.0,,,,,,,,,,,,,
1,,,5.38,,,1,,,,,,,,,,
,,,3.0,,,1,,,,,,,,,,
Total,9,14.0,,,,4,0,,,COCA-COLA,HOT DOG,,,,,
,dogão,,,,,dogão,combo,,TOTAL,19,27,,,,,
,premium,,,,,simples,,,,,,,,,,
,,,304.14,,,,,,,,,,,,,
