Combo ,Dogão,Valor,PG,Forma de pagamento,
2,,20.0,ok,pix ,
3,,30.0,ok,pix ,
,2,14.0,ok,pix ,
,1,6.0,ok,pix ,
,2,12.0,ok,pix ,
,2,14.0,ok,pix ,
,1,7.0,ok,pix ,
,1,6.0,ok,pix ,
2,,20.0,ok,pix ,
,,6.0,ok,pix ,
,4,28.0,,,
1,,10.0,,pix,
,3,20.0,,dinheiro,
2,,20.0,,pix,
1,,10.0,,pix,
2,4,48.0,,,
1,1,17.0,,,
,2,14.0,,,
2,,20.0,,dinheiro,
,2,14.0,,,
,1,7.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,0.0,,,
,,,,,0.0
