Quantidade que vamos fazer,200,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ingredientes ,,,,,,,,
pão,10.48,20.0,10.0,1.0,1.05,,209.6,
salsicha,6.98,4.0,50.0,1.0,0.14,,27.92,
tempero sazon,5.48,1.0,1.0,0.005,0.03,,5.48,
realçador de sabor,,1.0,1.0,0.005,0.0,,0.0,
tempero comp,11.4,1.0,1.0,0.005,0.06,,11.4,
batata palha,21.9,2.0,1.0,0.01,0.22,,43.8,
extrato de tomate,11.48,2.0,1.0,0.01,0.11,,22.96,
molho de tomate ,8.98,3.0,1.0,0.015,0.13,,26.94,
maionese,11.98,1.0,1.0,0.005,0.06,,11.98,
,,,,,,total,360.08,"R$ 1,80"
Valor por cachorro quente,1.8,,,,,refri,283.53,
Valor sugerido,4.0,5.0,6.0,7.0,,,,
Porcentagem de Lucro,122.17,177.72,233.26,288.8,,,,
Lucro Líquido,439.92,639.92,839.92,,,,,
Valor por refri,2.84,,,,,,,
Valor sugerido,4.0,5.0,6.0,7.0,,,,
Porcentagem de Lucro,41.08,76.35,111.62,146.89,,,,
Lucro Líquido,116.47,216.47,316.47,416.47,,,,
