Quantidade que vamos fazer,60,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
ingredientes ,,,,,,,,,"27,9",1,COMPROU MAIS,QUNATIDADE,VALOR UNIT,VALOR TOTAL
pão,10.49,7.0,10.0,1.0,1.05,,36.72,73.43,x,"0,532",MOLHO,4,"1,29","5,16"
salsicha,18.84,2.0,60.0,1.0,0.31,,18.84,37.68,"14,8428",1,MUSSARELA,"0,484","39,49","19,11316"
tempero sazon,4.88,1.0,1.0,0.0167,0.08,,2.44,4.88,y,"0,01666666667",BACON,,,20
realçador de sabor,6.48,1.0,1.0,0.0167,0.11,,3.24,6.48,"0,24738",,,,,
batata palha,19.98,1.0,1.0,0.0167,0.33,,9.99,19.98,,,,,,
extrato de tomate,5.68,1.0,1.0,0.0167,0.09,,2.84,5.68,,,,,,
molho de tomate ,7.98,1.0,1.0,0.0167,0.13,,3.99,7.98,,,,,,
maionese,11.48,1.0,1.0,0.0167,0.19,,5.74,11.48,,,,,,
ketchup,11.48,1.0,1.0,0.0167,0.19,,5.74,11.48,,,,,,
mussarela,14.85,1.0,0.532,0.0089,0.25,,14.85,0.07,,,,,,
milho ,2.78,5.0,1.0,0.0167,0.05,,13.9,,,,,,,
,,,,,,total,118.29,,,,,,,
Valor por cachorro quente,2.79,,,,,refri,238.0,,,,,,,
Valor sugerido,7.0,8.0,9.0,10.0,,,,,,,,,,
Porcentagem de Lucro,150.94,186.79,222.64,258.49,,,356.29,,,,,,,
Lucro Líquido,22.41,27.74,33.06,305.75,,,,,,,,,,
Quantidade que vamos fazer,60.0,,,,,,,,,,,,,
ingredientes ,,,,,,,,,,,,,,
pão,10.49,7.0,10.0,1.0,1.05,,36.72,73.43,,,,,,
salsicha,18.84,2.0,60.0,1.0,0.31,,18.84,37.68,,,,,,
tempero sazon,4.88,1.0,1.0,0.0167,0.08,,2.44,4.88,,,,,,
realçador de sabor,6.48,1.0,1.0,0.0167,0.11,,3.24,6.48,,,,,,
batata palha,19.98,1.0,1.0,0.0167,0.33,,9.99,19.98,,,,,,
extrato de tomate,5.68,1.0,1.0,0.0167,0.09,,2.84,5.68,,,,,,
molho de tomate ,7.98,1.0,1.0,0.0167,0.13,,3.99,7.98,,,,,,
maionese,11.48,1.0,1.0,0.0167,0.19,,5.74,11.48,,,,,,
ketchup,11.48,1.0,1.0,0.0167,0.19,,5.74,11.48,,,,,,
,,,,,,total,89.54,,,,,,,
Valor por cachorro quente,2.5,,,,,refri,238.0,,,,,,,
Valor sugerido,5.0,6.0,7.0,8.0,,,,,,,,,,
Porcentagem de Lucro,100.35,140.42,180.49,220.56,,,327.54,,,,,,,
Lucro Líquido,89.85,125.72,161.6,197.47,,,,,,,,,,
Valor por refri,2.38,,,,,,,,,,,,,
Valor sugerido,3.5,4.0,5.0,6.0,,,,,,,,,,
Porcentagem de Lucro,47.06,68.07,110.08,152.1,,,,,,,,,,
Lucro Líquido,112.0,162.0,262.0,362.0,,,,,,,,,,
