Quantidade que vamos fazer,200,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ingredientes ,,,,,,,,
pão,6.49,20.0,10.0,1.0,0.65,,129.8,
salsicha,12.45,4.0,50.0,1.0,0.25,,49.8,
tempero sazon,4.88,1.0,1.0,0.005,0.02,,4.88,
realçador de sabor,6.48,1.0,1.0,0.005,0.03,,6.48,
tempero comp,5.98,1.0,1.0,0.005,0.03,,5.98,
batata palha,21.8,2.0,1.0,0.01,0.22,,43.6,
extrato de tomate,9.98,2.0,1.0,0.01,0.1,,19.96,
molho de tomate ,5.78,3.0,1.0,0.015,0.09,,17.34,
maionese,12.45,1.0,1.0,0.005,0.06,,12.45,
,,,,,,total,290.29,"R$ 1,45"
Valor por cachorro quente,1.45,,,,,refri,283.53,
Valor sugerido,4.0,5.0,6.0,7.0,,,,
Porcentagem de Lucro,175.59,244.48,313.38,382.28,,,,
Lucro Líquido,509.71,709.71,909.71,,,,,
Valor por refri,2.84,,,,,,,
Valor sugerido,4.0,5.0,6.0,7.0,,,,
Porcentagem de Lucro,41.08,76.35,111.62,146.89,,,,
Lucro Líquido,116.47,216.47,316.47,416.47,,,,
