,Diposto,Replay,Lo-Fi,Degê,Conká,Cérebro,Juíza,Adversária,"R$ 1.100,00","R$ 1.188,80","R$ 210,00",Ginseng - camisa normal
Caixinha,0.11,,181.0,0.0,546.0,,,,,,,Berg - polo e normal
Conta da casa,37.5,37.5,0.0,37.5,0.0,"R$ 66,50","R$ 29,00","R$ 29,00","29,00 caixa da escolha",,,Marimar- camisa normal
Camisa,203.47,410.57,240.67,28.9,596.27,,,,,,,Malandro - camisa normal
Joia,600.0,600.0,600.0,600.0,0.0,"R$ 600,00","R$ 600,00","R$ 600,00",,,,Narnia - camisa normal
Outros,,393.0,,,297.0,,,,,,,Fake Newa
,,,,,,,,,,,,
,,,,,,Cérebro,Juíza,Adversária,,,,
Caixinha,,922.8,394.47,,555.5,,,,,,,
Conta da casa,37.5,,,,,,,,,,,
Camisa,204.3,,27.2,,,,,,,,,
Conta das cachorras,,,,,,,,,,,,
Joia,,,,287.0,,,,,,,,
Outros,,,,,,,,,,,,
,,,,,,Cérebro,Juíza,Adversária,,,,
Dívida Total,841.08,,,666.4,,"R$ 666,50","R$ 629,00","R$ 629,00",,,,
Pagamento Total,241.8,922.8,421.67,287.0,555.5,"R$ 0,00","R$ 0,00","R$ 0,00",,,,
Restante,599.28,,600.0,379.4,883.77,"R$ 666,50","R$ 629,00","R$ 629,00",,,,
DIrecionamento do dinheiro de quem deve a caixinha,,,,,,,,,,,,
,,,,,,,,,,,,
Conka,190.0,182.0,174.0,,,,,,,,,
Replay,,,29.95,,,,,,,,,
Lo-Fi,105.0,20.0,56.0,,,,,,,,,
Suci,156.0,,,,,,,,,,,
