Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 13,"R$ 599,28","R$ 1.989,97","R$ 600,00"
"227,08",,,,,,,,,,,,Dívidas ex-moradoras,,,
,,,,,Cérebro,Juíza,Adversária,Poker,Bivolt,Kwid,Amiyumi,,Replay,Conká,
,Caixinha,,,,,,,,,,,Valor Total,"R$ 1.989,97","R$ 939,27",
,Conta da casa,227.08,386.58,,"562,18","372,68","334,78",,,,,Pagamento,,,
,Camisa,,,,,,,,,,,Data,valores,,
"386,58",Outros,,,,,,,"R$ 85,00","R$ 85,00","R$ 85,00","R$ 85,00",22/10/2024,,"R$ 50,00",
,Dívida 2025,,0.0,0.0,"R$ 66,50","R$ 29,00","R$ 29,00",,,,,03/12,,"R$ 55,50",
,,,,,,,,,,,,06/12/2024,"R$ 60,00",,
,,,,,,,,,,,,07/01,"R$ 60,00",,
,,,,,,,,,,,,06/02,"R$ 60,00",,
,,,,,,,,,,,,05/03,,"R$ 50,00",
,Data,,,,Cérebro,Juíza,Adversária,Poker,Bivolt,Kwid,Amiyumi,07/03,"R$ 60,00",,
,30/09,,,,,,,"R$ 85,00","R$ 50,00",,,04/04,"R$ 60,00",,dois anos e quatro meses para a replay acabar com a divida
,13/11,,,,,,"R$ 29,00",,,,,07/04,,"R$ 50,00",1 ano e dois meses para conka pagar a dívida
"562,18",02/12,,,,,"R$ 29,00",,,,,,,,,
,10/12,,,,,,,,"R$ 35,00",,,,,,
,04/01,,189.5,,,,"R$ 50,00",,,,,,,,
,06/12,,,,"R$ 66,50",,,,,,,,,,
"372,68",,,,,,,,,,,,TOTAL,"R$ 1.689,97","R$ 733,77",
"334,78",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Diposto,226.36,0.0,226.36,,,,,,,,,,,
,Lo-Fi,386.58,189.5,197.08,,,,,,,,,,,
,Degê,0.0,0.0,0.0,,,,,,,,,,,
,Cérebro,628.68,66.5,562.18,,,,,,,,,,,
,Juíza,401.68,29.0,372.68,,,,,,,,,,,
,Adversária,363.78,79.0,284.78,,,,,,,,,,,
,Poker,85.0,85.0,0.0,,,,,,,,,,,
,Bivolt,85.0,85.0,0.0,,,,,,,,,,,
,k,85.0,0.0,85.0,,,,,,,,,,,
,am,85.0,0.0,85.0,,,,,,,,,,,
