Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 19
,DATA,ORIGEM,,LOCAL,Ceia,,,Mês,Valor Compras,Valor Ceia,Manutençäo BB,TOTAL,ENTRADA,DÉBITO,,Poupança
,2021,Repasse 2021,,Poupança,Rifa,,,Janeiro,"R$ 389,18","R$ 88,00","R$ 18,25","R$ 495,43","R$ 580,76","-R$ 85,33",,Conta Corrente BB
,28/03/2022,saldo atual,,Conta Corrente BB,Contribuiçäo ex-alunas,,,Fevereiro,"R$ 360,76","R$ 88,00","R$ 18,25","R$ 467,01","R$ 467,01","R$ 0,00",,
,29/03/2022,contadora,,Conta Corrente BB,Joia,,,março,"R$ 949,84","R$ 104,00","R$ 18,25","R$ 1.072,09","R$ 1.072,09","R$ 0,00",,
,31/03/2022,mutirão,24.0,Conta Corrente BB,,,,abril,"R$ 1.325,32","R$ 104,00","R$ 18,25","R$ 1.447,57","R$ 1.447,57","R$ 0,00",,
,01/04/2022,21 de abril,45.0,Conta Corrente BB,,,,maio,"R$ 1.263,39","R$ 80,00","R$ 18,25","R$ 1.361,64","R$ 1.361,64","R$ 0,00",,
,01/04,Caixinha,949.84,Conta Corrente BB,,,,junho,"R$ 1.013,52","R$ 80,00","R$ 18,25","R$ 1.111,77","R$ 1.111,77","R$ 0,00",,
,01/04,Ceia,104.0,Conta Corrente BB,ceia,,,julho,"R$ 502,57","R$ 80,00","R$ 18,25","R$ 600,82","R$ 520,82","R$ 80,00", *Lo-fi ainda ñ pagou cx,
,04/04,mutirão,,Conta Corrente BB,,,,agosto,"R$ 984,02","R$ 96,00","R$ 18,25",,,"R$ 0,00",****,
,04/04,mutirão,,Conta Corrente BB,,,,setembro,,"R$ 80,00",,,,"R$ 0,00",,
,04/04,mutirão,,Conta Corrente BB,,,,outubro,,,,,,"R$ 0,00",,
,04/04,mutirão,,Conta Corrente BB,,,,novembro,,,,,,"R$ 0,00",,
,04/04,mutirão,,Conta Corrente BB,,,,dezembro,,,,,,"R$ 0,00",,
,04/04,mutirão,,Conta Corrente BB,,,,,,,,,,,,
,05/04,Caixinha,18.25,Conta Corrente BB,,,,,,,,,,,,
,05/04,mutirão,6.0,Conta Corrente BB,,,,,,,,,,,,
,05/04,Joia,404.0,Conta Corrente BB,,,,Valor Poupança,,"R$ 9.253,84",,,,,,
,05/04,21 de abril,120.0,Conta Corrente BB,,,,,,,,,,,,
,05/04,21 de abril,200.0,Conta Corrente BB,,,,Valor Conta corrente BB,,"R$ 2.493,05",,,,,,
,05/04,mutirão,200.0,Conta Corrente BB,,,,,,,,,,,,
,06/04,Joia,200.0,Conta Corrente BB,,,,,,,,,,,,
,06/04,Aplicação poupança,604.0,Poupança,,,,,,,,,,,,
,06/04,Dívida mm ,44.6,Conta Corrente BB,,,,,,,,,,,,
,06/04,cheque compensado?,,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,300.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,40.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,50.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,200.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,70.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,21 de abril,150.0,Conta Corrente BB,,,,,,,,,,,,
,07/04,mutirão,,Conta Corrente BB,,,,,,,,,,,,
,12/04,21 de abril,100.0,Conta Corrente BB,,,,,,,,,,,,
,13/04,21 de abril,500.0,Conta Corrente BB,,,,,,,,,,,,
,14/04,21 de abril,50.0,Conta Corrente BB,,,,,,,,,,,,
,18/04,21 de abril,120.0,Conta Corrente BB,,,,,,,,,,,,
,19/04,dívida SC cx,90.0,Conta Corrente BB,,,,,,,,,,,,
,19/04,torneiras e dívida ceia lofi,,Conta Corrente BB,,,,,,,,,,,,
,20/04,camisas,,Conta Corrente BB,,,,,,,,,,,,
,20/04,camisas dip,65.0,Conta Corrente BB,,,,,,,,,,,,
,22/04,21 de abril,15.0,Conta Corrente BB,,,,,,,,,,,,
,22/04,21 de abril comida,,Conta Corrente BB,"R$ 504,70",,,,,,,,,,,
,22/04,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,22/04,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,22/04,arte p/ leiloar,,Conta Corrente BB,,,,,,,,,,,,
,25/04,21 de abril,400.0,Conta Corrente BB,,,,,,,,,,,,
,25/04,21 de abril,60.0,Conta Corrente BB,,,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 9,78",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 18,54",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 27,42",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 4,73",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 248,00",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 4,90",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 8,39",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,"R$ 34,67",,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,25/04,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,26/04,21 de abril,,Conta Corrente BB,"861,13",,,,,,,,,,,
,02/05,caixinha abril,,Conta Corrente BB,gastos com o 21,,,,,,,,,,,
,04/05,21 de abril,500.0,Conta Corrente BB,,,,,,,,,,,,
,04/05,correio,,Conta Corrente BB,,,,,,,,,,,,
,05/05,21 de abril,100.0,Conta Corrente BB,,,,,,,,,,,,
,06/05,cheque  ,,Conta Corrente BB,,,,,,,,,,,,
,09/05,21 de abril,162.0,Conta Corrente BB,,,,,,,,,,,,
,09/05,Joia,100.0,Conta Corrente BB,,,,,,,,,,,,
,09/05,21 de abril,50.0,Conta Corrente BB,,,,,,,,,,,,
,09/05,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,10/05,Rifa,90.0,Conta Corrente BB,,,,,,,,,,,,
,11/05,Joia,200.0,Conta Corrente BB,,,,,,,,,,,,
,11/05,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,13/05,21 de abril,,Conta Corrente BB,,,,,,,,,,,,
,16/05,Contribuiçäo ex-alunas,280.0,Conta Corrente BB,,,,,,,,,,,,
,25/05,Contribuiçäo ex-alunas,200.0,Conta Corrente BB,,,,,,,,,,,,
,31/05,Caixinha,18.25,Conta Corrente BB,,,,,,,,,,,,
,31/05,Caixinha,80.0,Conta Corrente BB,,,,,,,,,,,,
,31/05,Caixinha,,Conta Corrente BB,,,,,,,,,,,,
,01/06,chá miss pac,72.54,Conta Corrente BB,,,,,,,,,,,,
,01/06,chá miss pac,85.1,Conta Corrente BB,,,,,,,,,,,,
,01/06,chá miss pac,30.97,Conta Corrente BB,,,,,,,,,,,,
*,02/06,replay,100.0,Conta Corrente BB,,,,,,,,,,,,
*,03/06,compra caixinha,,Conta Corrente BB,,,,,,,,,,,,
*,03/06,chá miss,,Conta Corrente BB,,,,,,,,,,,,
*,03/06,chá miss,,Conta Corrente BB,,,,,,,,,,,,
*,03/06,chá miss,,Conta Corrente BB,,,,,,,,,,,,
,06/06,21 de abril,320.0,Conta Corrente BB,200 contribuição +120 camisa ,,,,,,,,,,,
*,06/06,cachu,265.0,,,,,,,,,,,,,
*,06/06,marimar,50.0,Poupança,,"158,96+95,00",valor do almoço,,,,,,,,,
,06/06,,,,,100,dívida 07/06,,,,,,,,,
,06/06,cx da conv?,,,,,,,,,,,,,,
,06/06,cheque compra?,,,,"05/07 502,57 compra",,,,,,,,,,
,07/06,almoço miss pac,158.96,,,,,,,,,,,,,
,07/06,DÍVIDA,100.0,Poupança,,"04/08 dívida rp 100,00",,,,,,,,,,
,08/06,27 (comemoração),,,,,,,,,,,,,,
,10/6,poup,265.0,Poupança,,"06/06 mm dividas camisas 50,00",,,,,,,,,,
*,10/06,iana?,,,torneiras?,,,,,,,,,,,
,20/06,21 de abril ,60.0,,,,,,,,,,,,,
,23/06,21 de abril ,200.0,,,,,,,,,,,,,
*,24/06,??? maria o cunha,500.0,,,,,,,,,,,,,
,27/06,cachu,,,,,,,,,,,,,,
,27/06,tarifa,5.0,,,,,,,,,,,,,
,27/06,tarifa,14.6,,,,,,,,,,,,,
,01/07,caixinha,,,,,,,,,,,,,,
*,05/07,??? nárnia,60.0,,,,,,,,,,,,,
,05/07,compra (caixinha),,,,,,,,,,,,,,
*,07/07,maria o cunha,700.0,,,,,,,,,,,,,
,08/07,21 DE ABRIL,75.0,,,,,,,,,,,,,
,08/07,21 DE ABRIL,65.0,,,,,,,,,,,,,
,11/07,cachu,,,,,,,,,,,,,,
,15/07,fake ,80.0,,,,,,,,,,,,,
,25/07,tarifa,5.0,,,,,,,,,,,,,
,25/07,tarifa,14.6,,,,,,,,,,,,,
,25/07,fake caixinha?,520.82,,,,,,,,,,,,,
,02/08,imposto ,,,,,,,,,,,,,,
,04/08,DÍVIDA,100.0,,,,,,,,,,,,,
