,SEMANA 1 ,bombom,,,,,,,,,,,,,
,DATA,DIA 14/05 (quarta) à DIA 20/05 (terça),,,,,,,,,,,,,
,TRIO,"Adversária, Kwid, Torri-Celly e B. Talita",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,,Fechamento de caixa,,,
,Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,420,105,,Valor avaliado pela quantidade feita,,,"R$ 500,00"
,Leite condensado,6,"R$ 34,74",,Maracujá,52,,Dinheiro,20,5,,Valor obtido ,,,"R$ 440,00"
,Creme de leite,6,"R$ 17,94",,Ninho,33,,,Valor obtido,Quant. vendida,,Subtraindo Avaliado pelo obtido,,,"R$ 60,00"
,Maracujá,3,"R$ 11,62",,Brigadeiro,40,,,,,,Lucro Bruto,,,"R$ 440,00"
,Chocolate,2,"R$ 85,40",,Total,125,,,,,,Unidades perdidas,,,15
,,,,,,,,,,,,Lucro Líquido,,,"R$ 290,30"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total da compra,,"R$ 149,70",,bombom deve a lofi,"27,5",pagou,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,SEMANA 2 ,bombom,,,,,,,,,,,,,
,DATA,DIA 21/05 (quarta) à DIA 27/05 (terça),,,,,,,,,,,,,
,TRIO,"Lo-fi, Juíza e Delegada",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,,Fechamento de caixa,,,
,Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,,Valor avaliado pela quantidade feita,,,"R$ 0,00"
,Leite condensado,4,"R$ 23,16",,Maracujá,35,,Dinheiro,,,,Valor obtido ,,,"R$ 0,00"
,Creme de leite,5,"R$ 17,45",,Ninho,32,,,Valor obtido,Quant. vendida,,Subtraindo Avaliado pelo obtido,,,"R$ 0,00"
,Maracujá,3,"R$ 13,85",,Brigadeiro,36,,,,,,Lucro Bruto,,,"R$ 0,00"
,Chocolate,1,"R$ 41,90",,Total,103,,,,,,Unidades perdidas,,,0
,,,,,,,,,,,,Lucro Líquido,,,"R$ 0,00"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total da compra,,"R$ 96,36",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,SEMANA 3,,,,,,,,,,,,,,
,DATA,,,,,,,,,,,,,,
,TRIO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,,Fechamento de caixa,,,
,Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,,Valor avaliado pela quantidade feita,,,"R$ 0,00"
,,,,,,,,Dinheiro,,,,Valor obtido ,,,"R$ 0,00"
,,,,,,,,,Valor obtido,Quant. vendida,,Subtraindo Avaliado pelo obtido,,,"R$ 0,00"
,,,,,,,,,,,,Lucro Bruto,,,"R$ 0,00"
,,,,,Total,,,,,,,Unidades perdidas,,,0
,,,,,,,,,,,,Lucro Líquido,,,"R$ 0,00"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total da compra,,"R$ 0,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,SEMANA 4,,,,,,,,,,,,,,
,DATA,,,,,,,,,,,,,,
,TRIO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Lista de compra,,,,Bombom/Chup Chup,,,Controle caixa,,,,Fechamento de caixa,,,
,Item,Qnt,Valor ,,Sabores,Quantidades,,PIX,,,,Valor avaliado pela quantidade feita,,,"R$ 0,00"
,,,,,,,,Dinheiro,,,,Valor obtido ,,,"R$ 0,00"
,,,,,,,,,Valor obtido,Quant. vendida,,Subtraindo Avaliado pelo obtido,,,"R$ 0,00"
,,,,,,,,,,,,Lucro Bruto,,,"R$ 0,00"
,,,,,Total,0,,,,,,Unidades perdidas,,,0
,,,,,,,,,,,,Lucro Líquido,,,"R$ 0,00"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total da compra,,"R$ 0,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,FECHAMENTO MENSAL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Fechamento de caixa,,,,,,,,,,,
,,,,Valor avaliado pela quantidade feita,,,"R$ 0,00",,,,,,,,
,,,,Valor obtido ,,,"R$ 0,00",,,,,,,,
,,,,Subtraindo Avaliado pelo obtido,,,"R$ 0,00",,,,,,,,
,,,,Lucro Bruto,,,"R$ 440,00",,,,,,,,
,,,,Bombons/Chup chup perdidos,,,15,,,,,,,,
,,,,Lucro Líquido,,,"R$ 0,00",,,,,,,,
