venda,,,,,,
,,,,,,
,"R$ 10,00","R$ 7,00",,,,
,Combo ,Dogão,Valor,PG,Forma de pagamento,
,2,,"R$ 20,00",ok,pix ,
,3,,"R$ 30,00",ok,pix ,
,,2,"R$ 14,00",ok,pix ,
,,1,6,ok,pix ,
,,2,12,ok,pix ,
,,2,"R$ 14,00",ok,pix ,
,,1,"R$ 7,00",ok,pix ,
,,1,6,ok,pix ,
,2,,"R$ 20,00",ok,pix ,
,,,6,ok,pix ,
,,4,"R$ 28,00",,,
,1,,"R$ 10,00",,pix,
,,3,20,,dinheiro,
,2,,"R$ 20,00",,pix,
,1,,"R$ 10,00",,pix,
,2,4,"R$ 48,00",,,
,1,1,"R$ 17,00",,,
,,2,"R$ 14,00",,,
,2,,"R$ 20,00",,dinheiro,
,,2,"R$ 14,00",,,
,,1,"R$ 7,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,"R$ 0,00",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
