,Quantidade que vamos fazer,60,,,,,,,,,,,,,,,
,ingredientes ,valor,quantidade,por pct,quantidade por ud de CQ,valor por ud,,valor que pagamos total,,"27,9",1,,,COMPROU MAIS,QUNATIDADE,VALOR UNIT,VALOR TOTAL
,pão,"R$ 10,49",7,10,"1,0000","R$ 1,05",,"R$ 36,72","R$ 73,43",x,"0,532",,,MOLHO,4,"1,29","5,16"
,salsicha,"R$ 18,84",2,60,"1,0000","R$ 0,31",,"R$ 18,84","R$ 37,68","14,8428",1,,,MUSSARELA,"0,484","39,49","19,11316"
,tempero sazon,"R$ 4,88",1,1,"0,0167","R$ 0,08",,"R$ 2,44","R$ 4,88",y,"0,01666666667",,,BACON,,,20
,realçador de sabor,"R$ 6,48",1,1,"0,0167","R$ 0,11",,"R$ 3,24","R$ 6,48","0,24738",,,,,,,
,batata palha,"R$ 19,98",1,1,"0,0167","R$ 0,33",,"R$ 9,99","R$ 19,98",,,,,,,,
,extrato de tomate,"R$ 5,68",1,1,"0,0167","R$ 0,09",,"R$ 2,84","R$ 5,68",,,,,,,,
,molho de tomate ,"R$ 7,98",1,1,"0,0167","R$ 0,13",,"R$ 3,99","R$ 7,98",,,,,,,,
,maionese,"R$ 11,48",1,1,"0,0167","R$ 0,19",,"R$ 5,74","R$ 11,48",,,,,,,,
,ketchup,"R$ 11,48",1,1,"0,0167","R$ 0,19",,"R$ 5,74","R$ 11,48",,,,,,,,
,mussarela,"R$ 14,85",1,"0,532","0,0089","R$ 0,25",,"R$ 14,85","R$ 0,07",,,,,,,,
,milho ,"R$ 2,78",5,1,"0,0167","R$ 0,05",,"R$ 13,90",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,total,"R$ 118,29",,,,,,,,,
,Valor por cachorro quente,"R$ 2,79",,,,,refri,238,,,,,,,,,
,Valor sugerido,"R$ 7,00","R$ 8,00","R$ 9,00","R$ 10,00",,,,,,,,,,,,
,Porcentagem de Lucro,"150,94%","186,79%","222,64%","258,49%",,,"R$ 356,29",,,,,,,,,
,Lucro Líquido,"R$ 22,41","R$ 27,74","R$ 33,06","R$ 305,75",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Quantidade que vamos fazer,60,,,,,,,,,,,,,,,
,ingredientes ,valor,quantidade,por pct,quantidade por ud de CQ,valor por ud,,valor que pagamos total,,,,,,,,,
,pão,"R$ 10,49",7,10,"1,0000","R$ 1,05",,"R$ 36,72","R$ 73,43",,,,,,,,
,salsicha,"R$ 18,84",2,60,"1,0000","R$ 0,31",,"R$ 18,84","R$ 37,68",,,,,,,,
,tempero sazon,"R$ 4,88",1,1,"0,0167","R$ 0,08",,"R$ 2,44","R$ 4,88",,,,,,,,
,realçador de sabor,"R$ 6,48",1,1,"0,0167","R$ 0,11",,"R$ 3,24","R$ 6,48",,,,,,,,
,batata palha,"R$ 19,98",1,1,"0,0167","R$ 0,33",,"R$ 9,99","R$ 19,98",,,,,,,,
,extrato de tomate,"R$ 5,68",1,1,"0,0167","R$ 0,09",,"R$ 2,84","R$ 5,68",,,,,,,,
,molho de tomate ,"R$ 7,98",1,1,"0,0167","R$ 0,13",,"R$ 3,99","R$ 7,98",,,,,,,,
,maionese,"R$ 11,48",1,1,"0,0167","R$ 0,19",,"R$ 5,74","R$ 11,48",,,,,,,,
,ketchup,"R$ 11,48",1,1,"0,0167","R$ 0,19",,"R$ 5,74","R$ 11,48",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,total,"R$ 89,54",,,,,,,,,
,Valor por cachorro quente,"R$ 2,50",,,,,refri,238,,,,,,,,,
,Valor sugerido,"R$ 5,00","R$ 6,00","R$ 7,00","R$ 8,00",,,,,,,,,,,,
,Porcentagem de Lucro,"100,35%","140,42%","180,49%","220,56%",,,"R$ 327,54",,,,,,,,,
,Lucro Líquido,"R$ 89,85","R$ 125,72","R$ 161,60","R$ 197,47",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Valor por refri,"R$ 2,38",,,,,,,,,,,,,,,
,Valor sugerido,"R$ 3,50","R$ 4,00","R$ 5,00","R$ 6,00",,,,,,,,,,,,
,Porcentagem de Lucro,"47,06%","68,07%","110,08%","152,10%",,,,,,,,,,,,
,Lucro Líquido,"R$ 112,00","R$ 162,00","R$ 262,00","R$ 362,00",,,,,,,,,,,,
