,Quantidade que vamos fazer,200,,,,,,,
,ingredientes ,valor,quantidade,por pct,quantidade por ud de CQ,valor por ud,,valor que pagamos total,
,pão,"R$ 6,49",20,10,1,"R$ 0,65",,"R$ 129,80",
,salsicha,"R$ 12,45",4,50,1,"R$ 0,25",,"R$ 49,80",
,tempero sazon,"R$ 4,88",1,1,"0,005","R$ 0,02",,"R$ 4,88",
,realçador de sabor,"R$ 6,48",1,1,"0,005","R$ 0,03",,"R$ 6,48",
,tempero comp,"R$ 5,98",1,1,"0,005","R$ 0,03",,"R$ 5,98",
,batata palha,"R$ 21,80",2,1,"0,01","R$ 0,22",,"R$ 43,60",
,extrato de tomate,"R$ 9,98",2,1,"0,01","R$ 0,10",,"R$ 19,96",
,molho de tomate ,"R$ 5,78",3,1,"0,015","R$ 0,09",,"R$ 17,34",
,maionese,"R$ 12,45",1,1,"0,005","R$ 0,06",,"R$ 12,45",
,,,,,,,total,"R$ 290,29","R$ 1,45"
,Valor por cachorro quente,"R$ 1,45",,,,,refri,"283,53",
,Valor sugerido,"R$ 4,00","R$ 5,00","R$ 6,00","R$ 7,00",,,,
,Porcentagem de Lucro,"175,59%","244,48%","313,38%","382,28%",,,,
,Lucro Líquido,"R$ 509,71","R$ 709,71","R$ 909,71","R$ 1.109,71",,,,
,,,,,,,,,
,Valor por refri,"R$ 2,84",,,,,,,
,Valor sugerido,"R$ 4,00","R$ 5,00","R$ 6,00","R$ 7,00",,,,
,Porcentagem de Lucro,"41,08%","76,35%","111,62%","146,89%",,,,
,Lucro Líquido,"R$ 116,47","R$ 216,47","R$ 316,47","R$ 416,47",,,,
