,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Dívidas,,,,,,,,,,,,Sedex - camisa normal
,,Diposto,Replay,Lo-Fi,Degê,Conká,Cérebro,Juíza,Adversária,"R$ 1.100,00","R$ 1.188,80","R$ 210,00",,Ginseng - camisa normal
,Caixinha,"R$ 0,11","R$ 1.411,70","R$ 181,00","R$ 0,00","R$ 546,00",,,,,,,,Berg - polo e normal
,Conta da casa,"R$ 37,50","R$ 37,50","R$ 0,00","R$ 37,50","R$ 0,00","R$ 66,50","R$ 29,00","R$ 29,00","29,00 caixa da escolha",,,,Marimar- camisa normal
,Camisa,"R$ 203,47","R$ 410,57","R$ 240,67","R$ 28,90","R$ 596,27",,,,,,,,Malandro - camisa normal
,Joia,"R$ 600,00","R$ 600,00","R$ 600,00","R$ 600,00","R$ 0,00","R$ 600,00","R$ 600,00","R$ 600,00",,,,,Narnia - camisa normal
,Outros,,"R$ 393,00",,,"R$ 297,00",,,,,,,,Fake Newa
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Pagamento,,,,,,,,,,,,
,,Diposto,Replay,Lo-Fi,Degê,Conká,Cérebro,Juíza,Adversária,,,,,
,Caixinha,,"R$ 922,80","R$ 394,47",,"R$ 555,50",,,,,,,,
,Conta da casa,"R$ 37,50",,,,,,,,,,,,
,Camisa,"R$ 204,30",,"R$ 27,20",,,,,,,,,,
,Conta das cachorras,,,,,,,,,,,,,
,Joia,,,,"R$ 287,00",,,,,,,,,
,Outros,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Diposto,Replay,Lo-Fi,Degê,Conká,Cérebro,Juíza,Adversária,,,,,
,Dívida Total,"R$ 841,08","R$ 2.852,77","R$ 1.021,67","R$ 666,40","R$ 1.439,27","R$ 666,50","R$ 629,00","R$ 629,00",,,,,
,Pagamento Total,"R$ 241,80","R$ 922,80","R$ 421,67","R$ 287,00","R$ 555,50","R$ 0,00","R$ 0,00","R$ 0,00",,,,,
,Restante,"R$ 599,28","R$ 1.929,97","R$ 600,00","R$ 379,40","R$ 883,77","R$ 666,50","R$ 629,00","R$ 629,00",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DIrecionamento do dinheiro de quem deve a caixinha,,,,,,,,,,,,,
,,Conta das cachorras,Conta da casa,Ceia,,,,,,,,,,
,Conka,190,182,174,,,,,,,,,,
,Replay,,"R$ 1.489,75","29,95",,,,,,,,,,
,Lo-Fi,105,20,56,,,,,,,,,,
,Suci,156,,,,,,,,,,,,
