,,,,,,,,,,,,,,"R$ 599,28","R$ 1.989,97","R$ 600,00","R$ 379,40","R$ 939,27","R$ 666,50","R$ 629,00","R$ 629,00"
,,,,,,,,,,,,,,,,,,,,,
"227,08",,Dívidas,,,,,,,,,,,Dívidas ex-moradoras,,,,,,,,
,,Diposto,Lo-Fi,Degê,Cérebro,Juíza,Adversária,Poker,Bivolt,Kwid,Amiyumi,,,Replay,Conká,,,,,,
,Caixinha,,,,,,,,,,,,Valor Total,"R$ 1.989,97","R$ 939,27",,,,,,
,Conta da casa,"227,08","386,58",,"562,18","372,68","334,78",,,,,,Pagamento,,,,,,,,
,Camisa,,,,,,,,,,,,Data,valores,,,,,,,
"386,58",Outros,,,,,,,"R$ 85,00","R$ 85,00","R$ 85,00","R$ 85,00",,22/10/2024,,"R$ 50,00",,,,,,
,Dívida 2025,"-R$ 0,72","R$ 0,00","R$ 0,00","R$ 66,50","R$ 29,00","R$ 29,00",,,,,,03/12,,"R$ 55,50",,,,,,
,,,,,,,,,,,,,06/12/2024,"R$ 60,00",,,,,,,
,,,,,,,,,,,,,07/01,"R$ 60,00",,,,,,,
,,,,,,,,,,,,,06/02,"R$ 60,00",,,,,,,
,,Pagamento,,,,,,,,,,,05/03,,"R$ 50,00",,,,,,
,Data,Diposto,Lo-Fi,Degê,Cérebro,Juíza,Adversária,Poker,Bivolt,Kwid,Amiyumi,,07/03,"R$ 60,00",,,,,,,
,30/09,,,,,,,"R$ 85,00","R$ 50,00",,,,04/04,"R$ 60,00",,dois anos e quatro meses para a replay acabar com a divida,,,,,
,13/11,,,,,,"R$ 29,00",,,,,,07/04,,"R$ 50,00",1 ano e dois meses para conka pagar a dívida,,,,,
"562,18",02/12,,,,,"R$ 29,00",,,,,,,,,,,,,,,
,10/12,,,,,,,,"R$ 35,00",,,,,,,,,,,,
,04/01,,"R$ 189,50",,,,"R$ 50,00",,,,,,,,,,,,,,
,06/12,,,,"R$ 66,50",,,,,,,,,,,,,,,,
"372,68",,,,,,,,,,,,,TOTAL,"R$ 1.689,97","R$ 733,77",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"334,78",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Valor dívida,Valor pago,TOTAL,,,,,,,,,,,,,,,,,
,Diposto,"R$ 226,36","R$ 0,00","R$ 226,36",,,,,,,,,,,,,,,,,
,Lo-Fi,"R$ 386,58","R$ 189,50","R$ 197,08",,,,,,,,,,,,,,,,,
,Degê,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,
,Cérebro,"R$ 628,68","R$ 66,50","R$ 562,18",,,,,,,,,,,,,,,,,
,Juíza,"R$ 401,68","R$ 29,00","R$ 372,68",,,,,,,,,,,,,,,,,
,Adversária,"R$ 363,78","R$ 79,00","R$ 284,78",,,,,,,,,,,,,,,,,
,Poker,"R$ 85,00","R$ 85,00","R$ 0,00",,,,,,,,,,,,,,,,,
,Bivolt,"R$ 85,00","R$ 85,00","R$ 0,00",,,,,,,,,,,,,,,,,
,k,"R$ 85,00","R$ 0,00","R$ 85,00",,,,,,,,,,,,,,,,,
,am,"R$ 85,00","R$ 0,00","R$ 85,00",,,,,,,,,,,,,,,,,
